Civilite*,Nom*,Prénom*,Nom de la société*,SIRET,Catégorie de tiers*,Nature juridique*,Adresse,Complément,Code postal *,Commune *,Pays *,Téléphone *,Téléphone 2,Mail *,Nom *,SIRET,Nature d'hébergement *,Référence interne,Catégorie (Atout France)*,Date de la catégorie *,Date d'application de la catégorie *,Date de début de collecte sur la plateforme *,Adresse,Complément,Code postal *,Commune *,Latitude,Longitude,Téléphone *,Téléphone 2,Nombre de chambres ou emplacements *,Capacité (Nombre de personnes) *,Site Web,Descriptif,Remarques
,,,,,,,,https://www.airbnb.fr/users/show/459746910,,,Guadeloupe,,,,PauseCool,,,,,,,,,,,Sainte-Rose,,,,,,,https://www.airbnb.fr/rooms/629654765651734116?search_mode=regular_search&adults=1&check_in=2025-03-13&check_out=2025-03-18&children=0&infants=0&pets=0&source_impression_id=p3_1739910042_P3L4Qf_J4wNHZymV&previous_page_section_name=1000,PauseCool,Airbnb
,,,,,,,,https://www.airbnb.fr/users/show/170820557,,,Guadeloupe,,,,"Le Jardin de la Roseraie F2 ""La rose""",,,,,,,,,,,Sainte-Rose,,,,,,,https://www.airbnb.fr/rooms/39609982?search_mode=regular_search&adults=1&check_in=2025-02-18&check_out=2025-02-23&children=0&infants=0&pets=0&source_impression_id=p3_1739910042_P3ZR6e06DYqDtI5_&previous_page_section_name=1000,"Le Jardin de la Roseraie F2 ""La rose""",Airbnb
,,,,,,,,https://www.airbnb.fr/users/show/560704896,,,Guadeloupe,,,,CosyLife Ste-Rose vue Sofaïa - Chambre 1,,,,,,,,,,,Sainte-Rose,,,,,,,https://www.airbnb.fr/rooms/1085569054227043236?search_mode=regular_search&adults=1&category_tag=Tag%3A8678&check_in=2025-02-19&check_out=2025-02-24&children=0&infants=0&pets=0&photo_id=1836223049&source_impression_id=p3_1739910042_P3PeGtxy_TTK1dQI&previous_page_section_name=1000,CosyLife Ste-Rose vue Sofaïa - Chambre 1,Airbnb
,Gérée par Katia & Didiyé,,,,,,,Gérée par Katia & Didiyé,,,Guadeloupe,,,,ISK LOCATION,,Maison 1 Chambre,,,,,,"Plessis Nogent, 97115 Sainte-Rose, GuadeloupeExcellente situation géographique — avec une note de 9.4/10!(note basée sur 44 commentaires)Évaluée par les clients après leur séjour à l'établissement ISK LOCATION.",,,Sainte-Rose,,,,,,,https://www.booking.com/hotel/gp/isk-location-sainte-rose3.fr.html?aid=304142&label=gen173nr-1FCAQoggJCK3NlYXJjaF9zYWludGV-cm9zZS0tYmFzc2V-dGVycmUtLWd1YWRlbG91cGVIM1gEaFqIAQGYAQ24ARfIAQzYAQHoAQH4AQOIAgGoAgO4AuzW070GwAIB0gIkYzA5ZTk1YmYtNzU3Yy00YTUxLTllYjEtNjFlYWEzOGMyMjU42AIF4AIB&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=17&hapos=17&sr_order=popularity&srpvid=4be68ef6e0ee0395&srepoch=1739910003&from=searchresults,ISK LOCATION,Booking
,Votre hôte Patricia,,,,,,,Votre hôte Patricia,,,Guadeloupe,,,,Mariposa,,Chalet 1 Chambre,,,,,,"lotissement Mont Sofa P8 Sofaïa, 97115 Sainte-Rose, GuadeloupeExcellente situation géographique — avec une note de 9.1/10!(note basée sur 15 commentaires)Évaluée par les clients après leur séjour à l'établissement Mariposa.",,,Sainte-Rose,,,,,,,https://www.booking.com/hotel/gp/mariposa.fr.html?aid=304142&label=gen173nr-1FCAQoggJCK3NlYXJjaF9zYWludGV-cm9zZS0tYmFzc2V-dGVycmUtLWd1YWRlbG91cGVIM1gEaFqIAQGYAQ24ARfIAQzYAQHoAQH4AQOIAgGoAgO4AuzW070GwAIB0gIkYzA5ZTk1YmYtNzU3Yy00YTUxLTllYjEtNjFlYWEzOGMyMjU42AIF4AIB&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=15&hapos=15&sr_order=popularity&srpvid=4be68ef6e0ee0395&srepoch=1739910003&from=searchresults,Mariposa,Booking
,,,,,,,,https://www.airbnb.fr/users/show/62823655,,,Guadeloupe,,,,Villa « Dream Caraïbes »,,,,,,,,,,,Sainte-Rose,,,,,,,https://www.airbnb.fr/rooms/1299289420771851256?search_mode=regular_search&adults=1&check_in=2025-03-27&check_out=2025-04-01&children=0&infants=0&pets=0&source_impression_id=p3_1739910042_P3UbIghloScIJ9sr&previous_page_section_name=1000,Villa « Dream Caraïbes »,Airbnb
,,,,,,,,https://www.airbnb.fr/users/show/11808708,,,Guadeloupe,,,,"Jungle kaz, piscine privative",,,,,,,,,,,Sainte-Rose,,,,,,,https://www.airbnb.fr/rooms/998607627303902606?search_mode=regular_search&adults=1&check_in=2025-06-21&check_out=2025-06-26&children=0&infants=0&pets=0&source_impression_id=p3_1739910042_P3-PFOw_5J1uv92N&previous_page_section_name=1000,"Jungle kaz, piscine privative",Airbnb
,,,,,,,,https://www.airbnb.fr/users/show/575905448,,,Guadeloupe,,,,Appartement au Lamentin,,,,,,,,,,,Sainte-Rose,,,,,,,https://www.airbnb.fr/rooms/1149930946293311483?search_mode=regular_search&adults=1&check_in=2025-03-25&check_out=2025-03-30&children=0&infants=0&pets=0&source_impression_id=p3_1739910042_P373Sq09h3YXaGRU&previous_page_section_name=1000,Appartement au Lamentin,Airbnb
,Gérée par Inge (chili) Vs Boris (France),,,,,,,Gérée par Inge (chili) Vs Boris (France),,,Guadeloupe,,,,Happy hippies House,,Lit Superposé dans Dortoir Mixte,,,,,,"chemin de bagatelle, duzer, 97115 Sainte-Rose, GuadeloupeUne fois votre réservation effectuée, toutes les informations sur l'établissement, y compris le numéro de téléphone et l'adresse, seront disponibles sur votre confirmation de réservation ainsi que dans votre compte.",,,Sainte-Rose,,,,,,,https://www.booking.com/hotel/gp/happy-hippies-house.fr.html?aid=304142&label=gen173nr-1FCAQoggJCK3NlYXJjaF9zYWludGV-cm9zZS0tYmFzc2V-dGVycmUtLWd1YWRlbG91cGVIM1gEaFqIAQGYAQ24ARfIAQzYAQHoAQH4AQOIAgGoAgO4AuzW070GwAIB0gIkYzA5ZTk1YmYtNzU3Yy00YTUxLTllYjEtNjFlYWEzOGMyMjU42AIF4AIB&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=13&hapos=13&sr_order=popularity&srpvid=4be68ef6e0ee0395&srepoch=1739910003&from=searchresults,Happy hippies House,Booking
,,,,,,,,https://www.airbnb.fr/users/show/102834881,,,Guadeloupe,,,,L'ALIZÉE SPA**** (WIFI+NETFLIX+JACCUZZI+VUE MER),,,,,,,,,,,Sainte-Rose,,,,,,,https://www.airbnb.fr/rooms/32963353?search_mode=regular_search&adults=1&check_in=2025-02-23&check_out=2025-02-28&children=0&infants=0&pets=0&source_impression_id=p3_1739910042_P325Ar4xheTQSW9Y&previous_page_section_name=1000,L'ALIZÉE SPA**** (WIFI+NETFLIX+JACCUZZI+VUE MER),Airbnb
,,,,,,,,https://www.airbnb.fr/users/show/236568281,,,Guadeloupe,,,,Maison Sugar Cane 4* - Vue Panoramique + Piscine,,,,,,,,,,,Sainte-Rose,,,,,,,https://www.airbnb.fr/rooms/50645645?search_mode=regular_search&adults=1&check_in=2025-03-15&check_out=2025-03-20&children=0&infants=0&pets=0&source_impression_id=p3_1739910042_P3ST_d6vygM-EXtD&previous_page_section_name=1000,Maison Sugar Cane 4* - Vue Panoramique + Piscine,Airbnb
,,,,,,,,https://www.airbnb.fr/users/show/209797693,,,Guadeloupe,,,,"Studio discret, tout confort.",,,,,,,,,,,Sainte-Rose,,,,,,,https://www.airbnb.fr/rooms/37173278?search_mode=regular_search&adults=1&check_in=2025-03-15&check_out=2025-03-20&children=0&infants=0&pets=0&source_impression_id=p3_1739910042_P33iFZIzJPHoDdck&previous_page_section_name=1000,"Studio discret, tout confort.",Airbnb
,,,,,,,,https://www.airbnb.fr/users/show/562968412,,,Guadeloupe,,,,Hébergement Sainte-Rose : maison entière,,,,,,,,,,,Sainte-Rose,,,,,,,https://www.airbnb.fr/rooms/1106717478396546194?search_mode=regular_search&adults=1&check_in=2025-02-21&check_out=2025-02-26&children=0&infants=0&pets=0&source_impression_id=p3_1739910042_P3wYUG-AriLvJ_ny&previous_page_section_name=1000,Hébergement Sainte-Rose : maison entière,Airbnb
,,,,,,,,https://www.airbnb.fr/users/show/381843846,,,Guadeloupe,,,,cottage créole dans un jardin tropical,,,,,,,,,,,Sainte-Rose,,,,,,,https://www.airbnb.fr/rooms/47289077?search_mode=regular_search&adults=1&check_in=2025-03-29&check_out=2025-04-03&children=0&infants=0&pets=0&source_impression_id=p3_1739910042_P3MkmS6HBQXKne2U&previous_page_section_name=1000,cottage créole dans un jardin tropical,Airbnb
,,,,,,,,https://www.airbnb.fr/users/show/181102748,,,Guadeloupe,,,,NatureJoyce,,,,,,,,,,,Sainte-Rose,,,,,,,https://www.airbnb.fr/rooms/24058173?search_mode=regular_search&adults=1&check_in=2025-03-06&check_out=2025-03-11&children=0&infants=0&pets=0&source_impression_id=p3_1739910042_P3VzE3RSfvZELLam&previous_page_section_name=1000,NatureJoyce,Airbnb
,,,,,,,,https://www.airbnb.fr/users/show/237014293,,,Guadeloupe,,,,Chambre privée à Petit-Bourg,,,,,,,,,,,Sainte-Rose,,,,,,,https://www.airbnb.fr/rooms/868224736594582247?search_mode=regular_search&adults=1&category_tag=Tag%3A8678&check_in=2025-02-25&check_out=2025-03-02&children=0&infants=0&pets=0&photo_id=1626831733&source_impression_id=p3_1739910042_P31fh8onHPg7k3QK&previous_page_section_name=1000,Chambre privée à Petit-Bourg,Airbnb
,,,,,,,,https://www.airbnb.fr/users/show/402867246,,,Guadeloupe,,,,La Kaz How,,,,,,,,,,,Sainte-Rose,,,,,,,https://www.airbnb.fr/rooms/1340635016746187642?search_mode=regular_search&adults=1&check_in=2025-04-01&check_out=2025-04-06&children=0&infants=0&pets=0&source_impression_id=p3_1739910045_P3Q5fYwGd-UYd9z2&previous_page_section_name=1000,La Kaz How,Airbnb
,,,,,,,,https://www.airbnb.fr/users/show/227525958,,,Guadeloupe,,,,Gîte spacieux avec Jacuzzi - ⭐️5 étoiles⭐️,,,,,,,,,,,Sainte-Rose,,,,,,,https://www.airbnb.fr/rooms/30293543?search_mode=regular_search&adults=1&check_in=2025-03-03&check_out=2025-03-08&children=0&infants=0&pets=0&source_impression_id=p3_1739910042_P3tpmfg1t7WNwajJ&previous_page_section_name=1000,Gîte spacieux avec Jacuzzi - ⭐️5 étoiles⭐️,Airbnb
,,,,,,,,https://www.airbnb.fr/users/show/465426305,,,Guadeloupe,,,,"""Alamanda"" - Gites Casuarina (3*) - tout neuf",,,,,,,,,,,Sainte-Rose,,,,,,,https://www.airbnb.fr/rooms/725281516751226035?search_mode=regular_search&adults=1&check_in=2025-02-28&check_out=2025-03-05&children=0&infants=0&pets=0&source_impression_id=p3_1739910042_P34j8Jce0xEdj62c&previous_page_section_name=1000,"""Alamanda"" - Gites Casuarina (3*) - tout neuf",Airbnb
,,,,,,,,https://www.airbnb.fr/users/show/157972945,,,Guadeloupe,,,,studio de vos vacances,,,,,,,,,,,Sainte-Rose,,,,,,,https://www.airbnb.fr/rooms/21699840?search_mode=regular_search&adults=1&check_in=2025-03-02&check_out=2025-03-07&children=0&infants=0&pets=0&source_impression_id=p3_1739910042_P31VDdVHdnimPj5H&previous_page_section_name=1000,studio de vos vacances,Airbnb
,,,,,,,,https://www.airbnb.fr/users/show/391088235,,,Guadeloupe,,,,"Chambre, kitchenette et jardin privé",,,,,,,,,,,Sainte-Rose,,,,,,,https://www.airbnb.fr/rooms/1041186951099994581?search_mode=regular_search&adults=1&category_tag=Tag%3A8678&check_in=2025-02-19&check_out=2025-02-24&children=0&infants=0&pets=0&photo_id=1814154888&source_impression_id=p3_1739910042_P3ao2JYqQT7xMzuK&previous_page_section_name=1000,"Chambre, kitchenette et jardin privé",Airbnb
,,,,,,,,https://www.airbnb.fr/users/show/278769403,,,Guadeloupe,,,,African Queen’s Villa moderne et agréable,,,,,,,,,,,Sainte-Rose,,,,,,,https://www.airbnb.fr/rooms/1322821205611476824?search_mode=regular_search&adults=1&check_in=2025-02-24&check_out=2025-03-01&children=0&infants=0&pets=0&source_impression_id=p3_1739910042_P3pavoQrWYadb0_L&previous_page_section_name=1000,African Queen’s Villa moderne et agréable,Airbnb
,,,,,,,,https://www.airbnb.fr/users/show/35025403,,,Guadeloupe,,,,Gîte au coeur d'une maison créole,,,,,,,,,,,Sainte-Rose,,,,,,,https://www.airbnb.fr/rooms/9633618?search_mode=regular_search&adults=1&check_in=2025-03-02&check_out=2025-03-07&children=0&infants=0&pets=0&source_impression_id=p3_1739910045_P3KsuVRS2owPPvev&previous_page_section_name=1000,Gîte au coeur d'une maison créole,Airbnb
,,,,,,,,https://www.airbnb.fr/users/show/97992996,,,Guadeloupe,,,,Villa YlangŻang,,,,,,,,,,,Sainte-Rose,,,,,,,https://www.airbnb.fr/rooms/25452942?search_mode=regular_search&adults=1&check_in=2025-04-22&check_out=2025-04-29&children=0&infants=0&pets=0&source_impression_id=p3_1739910045_P3BpOZUGv5KnyZd8&previous_page_section_name=1000,Villa YlangŻang,Airbnb
,,,,,,,,https://www.airbnb.fr/users/show/451701988,,,Guadeloupe,,,,Home Container Resort : Studio « FEU » 2/4 pers.,,,,,,,,,,,Sainte-Rose,,,,,,,https://www.airbnb.fr/rooms/1030989241929543911?search_mode=regular_search&adults=1&check_in=2025-02-20&check_out=2025-02-25&children=0&infants=0&pets=0&source_impression_id=p3_1739910045_P3N7Wk8ApY_mtuC7&previous_page_section_name=1000,Home Container Resort : Studio « FEU » 2/4 pers.,Airbnb
,,,,,,,,https://www.airbnb.fr/users/show/94089168,,,Guadeloupe,,,,Séjour Unique à Bord : Confort et Charme sur l’Eau,,,,,,,,,,,Sainte-Rose,,,,,,,https://www.airbnb.fr/rooms/1325500577448482029?search_mode=regular_search&adults=1&check_in=2025-02-28&check_out=2025-03-05&children=0&infants=0&pets=0&source_impression_id=p3_1739910045_P3MEx51KDT-OOamE&previous_page_section_name=1000,Séjour Unique à Bord : Confort et Charme sur l’Eau,Airbnb
,,,,,,,,https://www.airbnb.fr/users/show/72371550,,,Guadeloupe,,,,Chambre indépendante avec terrasse vue sur mer,,,,,,,,,,,Sainte-Rose,,,,,,,https://www.airbnb.fr/rooms/1139910989050386299?search_mode=regular_search&adults=1&category_tag=Tag%3A8678&check_in=2025-04-06&check_out=2025-04-11&children=0&infants=0&pets=0&photo_id=1998548715&source_impression_id=p3_1739910046_P3BuKBmT8FkwIQG3&previous_page_section_name=1000,Chambre indépendante avec terrasse vue sur mer,Airbnb
,,,,,,,,https://www.airbnb.fr/users/show/302888826,,,Guadeloupe,,,,"Villa Bismarkia T3, Piscine, Lamentin",,,,,,,,,,,Sainte-Rose,,,,,,,https://www.airbnb.fr/rooms/1341967058101679767?search_mode=regular_search&adults=1&check_in=2025-03-01&check_out=2025-03-06&children=0&infants=0&pets=0&source_impression_id=p3_1739910045_P3hbaHPTQ0XrJGVk&previous_page_section_name=1000,"Villa Bismarkia T3, Piscine, Lamentin",Airbnb
,,,,,,,,https://www.airbnb.fr/users/show/573649702,,,Guadeloupe,,,,"Case créole, jardin et vue mer",,,,,,,,,,,Sainte-Rose,,,,,,,https://www.airbnb.fr/rooms/1140546291037034862?search_mode=regular_search&adults=1&check_in=2025-02-19&check_out=2025-02-24&children=0&infants=0&pets=0&source_impression_id=p3_1739910018_P3ilzuCvxuOwqKX-&previous_page_section_name=1000,"Case créole, jardin et vue mer",Airbnb
,,,,,,,,https://www.airbnb.fr/users/show/293229620,,,Guadeloupe,,,,Entre mers et montagnes bis,,,,,,,,,,,Sainte-Rose,,,,,,,https://www.airbnb.fr/rooms/50832087?search_mode=regular_search&adults=1&check_in=2025-02-27&check_out=2025-03-04&children=0&infants=0&pets=0&source_impression_id=p3_1739909999_P3hIsS7N78_xdKq2&previous_page_section_name=1000,Entre mers et montagnes bis,Airbnb
,,,,,,,,https://www.airbnb.fr/users/show/77854206,,,Guadeloupe,,,,Maisonnette de campagne: Sofaïa à 5 min,,,,,,,,,,,Sainte-Rose,,,,,,,https://www.airbnb.fr/rooms/1255646766445396060?search_mode=regular_search&adults=1&check_in=2025-02-20&check_out=2025-02-25&children=0&infants=0&pets=0&source_impression_id=p3_1739910000_P3HZs30m8GYtXWI1&previous_page_section_name=1000,Maisonnette de campagne: Sofaïa à 5 min,Airbnb
,,,,,,,,https://www.airbnb.fr/users/show/270099189,,,Guadeloupe,,,,Bungalow le fruit à pain,,,,,,,,,,,Sainte-Rose,,,,,,,https://www.airbnb.fr/rooms/1289334027549708961?search_mode=regular_search&adults=1&check_in=2025-02-20&check_out=2025-02-25&children=0&infants=0&pets=0&source_impression_id=p3_1739910000_P3tXlB3D5ODf0iki&previous_page_section_name=1000,Bungalow le fruit à pain,Airbnb
,,,,,,,,https://www.airbnb.fr/users/show/676039780,,,Guadeloupe,,,,Studio climatisé avec piscine,,,,,,,,,,,Sainte-Rose,,,,,,,https://www.airbnb.fr/rooms/1345619554530882128?search_mode=regular_search&adults=1&check_in=2025-02-19&check_out=2025-02-24&children=0&infants=0&pets=0&source_impression_id=p3_1739910000_P3vRBW8k81--HP3V&previous_page_section_name=1000,Studio climatisé avec piscine,Airbnb
,,,,,,,,https://www.airbnb.fr/users/show/676751590,,,Guadeloupe,,,,Bungalow bois nature et jacuzzi,,,,,,,,,,,Sainte-Rose,,,,,,,https://www.airbnb.fr/rooms/1348480664755204746?search_mode=regular_search&adults=1&check_in=2025-02-19&check_out=2025-02-24&children=0&infants=0&pets=0&source_impression_id=p3_1739910000_P3NinXKKcFZtDLej&previous_page_section_name=1000,Bungalow bois nature et jacuzzi,Airbnb
,,,,,,,,https://www.airbnb.fr/users/show/539982199,,,Guadeloupe,,,,Pura vida lodge cabane perchée,,,,,,,,,,,Sainte-Rose,,,,,,,https://www.airbnb.fr/rooms/993373678112130880?search_mode=regular_search&adults=1&check_in=2025-04-13&check_out=2025-04-18&children=0&infants=0&pets=0&source_impression_id=p3_1739910000_P3nIqopsx0u6P2Sb&previous_page_section_name=1000,Pura vida lodge cabane perchée,Airbnb
,,,,,,,,https://www.airbnb.fr/users/show/115045875,,,Guadeloupe,,,,Maison Canne à Sucre,,,,,,,,,,,Sainte-Rose,,,,,,,https://www.airbnb.fr/rooms/17121627?search_mode=regular_search&adults=1&check_in=2025-02-18&check_out=2025-02-23&children=0&infants=0&pets=0&source_impression_id=p3_1739910000_P38BGJyLgtmAxd9Y&previous_page_section_name=1000,Maison Canne à Sucre,Airbnb
,,,,,,,,https://www.airbnb.fr/users/show/565555383,,,Guadeloupe,,,,"Appart Type F3 ""Ti Citronnier la""",,,,,,,,,,,Sainte-Rose,,,,,,,https://www.airbnb.fr/rooms/1105877209009896366?search_mode=regular_search&adults=1&check_in=2025-02-20&check_out=2025-02-25&children=0&infants=0&pets=0&source_impression_id=p3_1739910000_P3RhRu7zwvrt18Sd&previous_page_section_name=1000,"Appart Type F3 ""Ti Citronnier la""",Airbnb
,,,,,,,,https://www.airbnb.fr/users/show/432425269,,,Guadeloupe,,,,Appart confortable Sainte-Rose,,,,,,,,,,,Sainte-Rose,,,,,,,https://www.airbnb.fr/rooms/564401846842713005?search_mode=regular_search&adults=1&check_in=2025-02-23&check_out=2025-02-28&children=0&infants=0&pets=0&source_impression_id=p3_1739910000_P3N4X_oUvcPSvHCK&previous_page_section_name=1000,Appart confortable Sainte-Rose,Airbnb
,,,,,,,,https://www.airbnb.fr/users/show/159085430,,,Guadeloupe,,,,La Mandarine,,,,,,,,,,,Sainte-Rose,,,,,,,https://www.airbnb.fr/rooms/592585557704599595?search_mode=regular_search&adults=1&check_in=2025-02-23&check_out=2025-02-28&children=0&infants=0&pets=0&source_impression_id=p3_1739910000_P3rlOmZhr42vU7N5&previous_page_section_name=1000,La Mandarine,Airbnb
,,,,,,,,https://www.airbnb.fr/users/show/560704896,,,Guadeloupe,,,,CosyLife Ste-Rose vue Sofaïa - Chambre 2,,,,,,,,,,,Sainte-Rose,,,,,,,https://www.airbnb.fr/rooms/1105609441297301489?search_mode=regular_search&adults=1&category_tag=Tag%3A8678&check_in=2025-02-18&check_out=2025-02-23&children=0&infants=0&pets=0&photo_id=1854382832&source_impression_id=p3_1739910000_P3ShpsClY1_ADTSv&previous_page_section_name=1000,CosyLife Ste-Rose vue Sofaïa - Chambre 2,Airbnb
,,,,,,,,https://www.airbnb.fr/users/show/573661106,,,Guadeloupe,,,,L'AlthéaBleu,,,,,,,,,,,Sainte-Rose,,,,,,,https://www.airbnb.fr/rooms/1321102985471472907?search_mode=regular_search&adults=1&check_in=2025-02-21&check_out=2025-02-26&children=0&infants=0&pets=0&source_impression_id=p3_1739910000_P3kFzY7aZH0Lqps1&previous_page_section_name=1000,L'AlthéaBleu,Airbnb
,,,,,,,,https://www.airbnb.fr/users/show/76387059,,,Guadeloupe,,,,"studio climatisé tout confort ""vert""",,,,,,,,,,,Sainte-Rose,,,,,,,https://www.airbnb.fr/rooms/1336852360294444781?search_mode=regular_search&adults=1&check_in=2025-02-19&check_out=2025-02-24&children=0&infants=0&pets=0&source_impression_id=p3_1739910000_P3XaUZ_AW9qgCp7B&previous_page_section_name=1000,"studio climatisé tout confort ""vert""",Airbnb
,,,,,,,,https://www.airbnb.fr/users/show/654347609,,,Guadeloupe,,,,bunga coco,,,,,,,,,,,Sainte-Rose,,,,,,,https://www.airbnb.fr/rooms/1255220999720785894?search_mode=regular_search&adults=1&check_in=2025-03-14&check_out=2025-03-19&children=0&infants=0&pets=0&source_impression_id=p3_1739910000_P3djFxD0QaVwndTf&previous_page_section_name=1000,bunga coco,Airbnb
,,,,,,,,https://www.airbnb.fr/users/show/439543971,,,Guadeloupe,,,,Gîte indépendant proche plage,,,,,,,,,,,Sainte-Rose,,,,,,,https://www.airbnb.fr/rooms/901583576477027215?search_mode=regular_search&adults=1&check_in=2025-05-06&check_out=2025-05-11&children=0&infants=0&pets=0&source_impression_id=p3_1739910000_P3hZPvjZqkooPFL8&previous_page_section_name=1000,Gîte indépendant proche plage,Airbnb
,,,,,,,,https://www.airbnb.fr/users/show/201079729,,,Guadeloupe,,,,Happy Hippies House : Dortoir Purple 4 Lits,,,,,,,,,,,Sainte-Rose,,,,,,,https://www.airbnb.fr/rooms/30004615?search_mode=regular_search&adults=1&check_in=2025-02-24&check_out=2025-03-01&children=0&infants=0&pets=0&source_impression_id=p3_1739910000_P3dkXw4nIcgr1LSu&previous_page_section_name=1000,Happy Hippies House : Dortoir Purple 4 Lits,Airbnb
,,,,,,,,https://www.airbnb.fr/users/show/13922754,,,Guadeloupe,,,,"Villa Songe Caribéen,  proche plages et nature",,,,,,,,,,,Sainte-Rose,,,,,,,https://www.airbnb.fr/rooms/1234793350602165922?search_mode=regular_search&adults=1&check_in=2025-02-22&check_out=2025-02-27&children=0&infants=0&pets=0&source_impression_id=p3_1739910000_P3xADmzYyhFCC1oG&previous_page_section_name=1000,"Villa Songe Caribéen,  proche plages et nature",Airbnb
,,,,,,,,https://www.airbnb.fr/users/show/61699333,,,Guadeloupe,,,,Bungalow le Ti'Sucrier,,,,,,,,,,,Sainte-Rose,,,,,,,https://www.airbnb.fr/rooms/1326811086062716568?search_mode=regular_search&adults=1&check_in=2025-02-19&check_out=2025-02-24&children=0&infants=0&pets=0&source_impression_id=p3_1739910000_P3ZN88OldfxzrTaR&previous_page_section_name=1000,Bungalow le Ti'Sucrier,Airbnb
,,,,,,,,https://www.airbnb.fr/users/show/569373656,,,Guadeloupe,,,,Bungalow chez Séve et Savi,,,,,,,,,,,Sainte-Rose,,,,,,,https://www.airbnb.fr/rooms/1169646958358204321?search_mode=regular_search&adults=1&check_in=2025-02-26&check_out=2025-03-03&children=0&infants=0&pets=0&source_impression_id=p3_1739910014_P3J6T_-nzxh2krro&previous_page_section_name=1000,Bungalow chez Séve et Savi,Airbnb
,,,,,,,,https://www.airbnb.fr/users/show/265196030,,,Guadeloupe,,,,Le lieu de repos...,,,,,,,,,,,Sainte-Rose,,,,,,,https://www.airbnb.fr/rooms/35221756?search_mode=regular_search&adults=1&check_in=2025-03-07&check_out=2025-03-12&children=0&infants=0&pets=0&source_impression_id=p3_1739910014_P3KleulkuRkZP8Bb&previous_page_section_name=1000,Le lieu de repos...,Airbnb
,,,,,,,,https://www.airbnb.fr/users/show/495860423,,,Guadeloupe,,,,Appartement Belfort Sainte-Rose,,,,,,,,,,,Sainte-Rose,,,,,,,https://www.airbnb.fr/rooms/1113222949665559393?search_mode=regular_search&adults=1&check_in=2025-02-28&check_out=2025-03-05&children=0&infants=0&pets=0&source_impression_id=p3_1739910014_P38RT6yUXvrEwgg2&previous_page_section_name=1000,Appartement Belfort Sainte-Rose,Airbnb
,,,,,,,,https://www.airbnb.fr/users/show/559612087,,,Guadeloupe,,,,l'appartement d'en haut,,,,,,,,,,,Sainte-Rose,,,,,,,https://www.airbnb.fr/rooms/1081193783176192714?search_mode=regular_search&adults=1&check_in=2025-02-19&check_out=2025-02-24&children=0&infants=0&pets=0&source_impression_id=p3_1739910014_P343UT9eqSI94HI4&previous_page_section_name=1000,l'appartement d'en haut,Airbnb
,,,,,,,,https://www.airbnb.fr/users/show/267201569,,,Guadeloupe,,,,"Bungalow proche Deshaies (spa, wifi, netflix)",,,,,,,,,,,Sainte-Rose,,,,,,,https://www.airbnb.fr/rooms/1337533165866871021?search_mode=regular_search&adults=1&check_in=2025-02-18&check_out=2025-02-23&children=0&infants=0&pets=0&source_impression_id=p3_1739910015_P3DYpSyv4HiELIMG&previous_page_section_name=1000,"Bungalow proche Deshaies (spa, wifi, netflix)",Airbnb
,,,,,,,,https://www.airbnb.fr/users/show/289994917,,,Guadeloupe,,,,« An lè sport is 2 » (Sur la colline 2),,,,,,,,,,,Sainte-Rose,,,,,,,https://www.airbnb.fr/rooms/38792967?search_mode=regular_search&adults=1&check_in=2025-02-19&check_out=2025-02-24&children=0&infants=0&pets=0&source_impression_id=p3_1739910015_P3GBa5vu_TyQVJmw&previous_page_section_name=1000,« An lè sport is 2 » (Sur la colline 2),Airbnb
,,,,,,,,https://www.airbnb.fr/users/show/655283153,,,Guadeloupe,,,,Magnifique bungalow tout équipé,,,,,,,,,,,Sainte-Rose,,,,,,,https://www.airbnb.fr/rooms/1259366085611003272?search_mode=regular_search&adults=1&check_in=2025-02-18&check_out=2025-02-23&children=0&infants=0&pets=0&source_impression_id=p3_1739910015_P3DoJn9pbanQxTUR&previous_page_section_name=1000,Magnifique bungalow tout équipé,Airbnb
,,,,,,,,https://www.airbnb.fr/users/show/667975282,,,Guadeloupe,,,,Gîte Émeraude 6 pers. Piscine,,,,,,,,,,,Sainte-Rose,,,,,,,https://www.airbnb.fr/rooms/1316141292526817415?search_mode=regular_search&adults=1&check_in=2025-03-06&check_out=2025-03-11&children=0&infants=0&pets=0&source_impression_id=p3_1739910015_P3tqGhHOk3ZcePrt&previous_page_section_name=1000,Gîte Émeraude 6 pers. Piscine,Airbnb
,,,,,,,,https://www.airbnb.fr/users/show/432114611,,,Guadeloupe,,,,Maison à Sainte-Rose,,,,,,,,,,,Sainte-Rose,,,,,,,https://www.airbnb.fr/rooms/1355050830516505464?search_mode=regular_search&adults=1&check_in=2025-03-31&check_out=2025-04-05&children=0&infants=0&pets=0&source_impression_id=p3_1739910015_P3jcY0Sjyixk0Ix7&previous_page_section_name=1000,Maison à Sainte-Rose,Airbnb
